,urlDrugName,rating,effectiveness,condition,sideEffects
0,enalapril,4,Highly Effective,management of congestive heart failure,Mild Side Effects
1,ortho-tri-cyclen,1,Highly Effective,birth prevention,Severe Side Effects
2,ponstel,10,Highly Effective,menstrual cramps,No Side Effects
3,prilosec,3,Marginally Effective,acid reflux,Mild Side Effects
4,lyrica,2,Marginally Effective,fibromyalgia,Severe Side Effects
5,propecia,1,Ineffective,hair loss,Severe Side Effects
6,vyvanse,9,Highly Effective,add,Mild Side Effects
7,elavil,10,Considerably Effective,depression,No Side Effects
8,xanax,10,Highly Effective,panic disorder,No Side Effects
9,claritin,1,Ineffective,allergies,Extremely Severe Side Effects
10,flagyl,7,Considerably Effective,bacterial vaginosis,Moderate Side Effects
11,dextroamphetamine,8,Highly Effective,add,Moderate Side Effects
12,sarafem,8,Considerably Effective,depression,Mild Side Effects
13,latisse,9,Considerably Effective,sparse eyelashes,Mild Side Effects
14,aldara,4,Considerably Effective,skin cancer,Severe Side Effects
15,effexor-xr,8,Highly Effective,anxiety,No Side Effects
16,neurontin,6,Moderately Effective,nerve disorder,No Side Effects
17,omnicef,1,Marginally Effective,sore throat ear infections,Severe Side Effects
18,klonopin,8,Considerably Effective,generalized anxiety disorder,Mild Side Effects
19,dovonex,6,Moderately Effective,psoriasis,No Side Effects
20,protopic,8,Highly Effective,ezcema,Moderate Side Effects
21,effexor,9,Considerably Effective,panic attacks and depression,Mild Side Effects
22,sotret,10,Highly Effective,acne,Moderate Side Effects
23,retin-a-micro,8,Moderately Effective,"anti-aging, acne",Moderate Side Effects
24,lamotrigine,9,Considerably Effective,epilpsy,Mild Side Effects
25,rebif,6,Considerably Effective,multiple sclerosis,Moderate Side Effects
26,symbicort,10,Highly Effective,"asthma, emphysema",No Side Effects
27,lamictal,8,Considerably Effective,bipolar disorder and depression,Mild Side Effects
28,lyrica,1,Marginally Effective,"fibromyalgia, failed back syndrome",Severe Side Effects
29,doxycycline,8,Considerably Effective,acne,Mild Side Effects
30,vyvanse,8,Considerably Effective,adhd,Mild Side Effects
31,actonel,7,Marginally Effective,osteoporosis,Mild Side Effects
32,provigil,7,Moderately Effective,fatigue,Mild Side Effects
33,ambien,8,Considerably Effective,insomnia,Mild Side Effects
34,wellbutrin,10,Highly Effective,depression,Mild Side Effects
35,propecia,8,Moderately Effective,male pattern baldness,Mild Side Effects
36,nortriptyline,3,Moderately Effective,a typical migraines,Severe Side Effects
37,imitrex,10,Highly Effective,migraine headaches,Mild Side Effects
38,ativan,9,Considerably Effective,anxiety,No Side Effects
39,doxycycline,10,Highly Effective,severe peridontal disease,No Side Effects
40,prozac,7,Considerably Effective,depression,Mild Side Effects
41,topamax,6,Highly Effective,"seizures,migraines,fibro.",Mild Side Effects
42,levitra,10,Highly Effective,ed,No Side Effects
43,oxycodone,7,Considerably Effective,possible lymphoma/kidney pain,Mild Side Effects
44,lamictal,8,Highly Effective,seizure disorder,No Side Effects
45,oxycontin,7,Considerably Effective,post surgical pain,Mild Side Effects
46,vicodin,8,Considerably Effective,broken collarbone,Mild Side Effects
47,accutane,9,Highly Effective,acne,Moderate Side Effects
48,zocor,10,Highly Effective,high cholestoral,Mild Side Effects
49,aldara,10,Considerably Effective,basal cell carcinoma,No Side Effects
50,ortho-tri-cyclen,10,Highly Effective,birth control,No Side Effects
51,minocycline,6,Marginally Effective,treatment of acne,No Side Effects
52,estrace,10,Highly Effective,replacement thearpy,Mild Side Effects
53,meridia,10,Highly Effective,over weight,Mild Side Effects
54,sotret,8,Highly Effective,acne,Moderate Side Effects
55,prevacid,10,Highly Effective,stomach pain,No Side Effects
56,cosopt,9,Considerably Effective,glaucoma,Mild Side Effects
57,renova,6,Moderately Effective,sun damage & fine lines,Moderate Side Effects
58,depakote,4,Highly Effective,seizure disorder,Severe Side Effects
59,tekturna,10,Highly Effective,hypertension,Mild Side Effects
60,renova,10,Highly Effective,wrinkles,Mild Side Effects
61,zegerid,1,Moderately Effective,acid reflux,Severe Side Effects
62,sular,9,Moderately Effective,mild depression,No Side Effects
63,crestor,10,Highly Effective,high cholesterol,No Side Effects
64,metformin,9,Highly Effective,anti-aging prophilatic,No Side Effects
65,celexa,6,Considerably Effective,depression/ anxiety,Moderate Side Effects
66,lexapro,6,Moderately Effective,depression,Mild Side Effects
67,naproxen,6,Moderately Effective,"auto accident, severe whiplash",Mild Side Effects
68,levoxyl,8,Considerably Effective,low thyroid levels,Mild Side Effects
69,synthroid,9,Highly Effective,hypothyroidism,No Side Effects
70,spironolactone,6,Considerably Effective,acne,Moderate Side Effects
71,minocycline,10,Highly Effective,acne,No Side Effects
72,oracea,7,Considerably Effective,acne,Moderate Side Effects
73,paxil,8,Considerably Effective,depression/anxiety,Mild Side Effects
74,zantac,10,Highly Effective,heratburn,No Side Effects
75,fosamax,8,Considerably Effective,a little bit of osteoporosis in the hips,No Side Effects
76,prevacid,10,Highly Effective,gerd,No Side Effects
