rating,urlDrugName,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview,combinedReview
10,sulfasalazine,Highly Effective,No Side Effects,ulcerative colitis,CLEARED UP ULCERATIVE COLITIS AND HAVE NOT HAD RELAPSE SINCE. I WAS DIAGNOSED WITH THIS ILLNESS WHEN I WAS 18. I LOATHED THE INVESTIGATIONS SO MUCH THAT I ONLY KEPT APPOINTMENTS TIL I WAS ABOUT 21. I STOPPED TAKING THE SALAZOPYRIN WHEN I WAS ABOUT 22. I HAD OCCASIONAL PROBLEMS BUT NOTHING THAT DIDN'T CLEAR ITSELF UP. I WENT ON TO HAVE 3 HEALTHY CHILDREN. HOWEVER IN 2001 THE PROB CAME BACK WITH A VENGEANCE AND I NEEDED SURGERY AND WAS VERY ILL - IT WOULD HAVE HELPED IF THE MEDICAL PROFESSION HAD TAKEN SOME INTEREST IN ME AND HADN'T SIMPLY TOLD MW I WAS TRESSED AND TO GO AWAY. PRIVATE CONSULTATIONS FINALLY MEANT THAT I WAS REFERRED TO A CONSULTATN AND HAD THE SURGERY,"THE SURGERY MEANT I HAD NO MORE PAIN. AND IN FACT THE TABLETS ARE THE VERY OLD STYLE SULFASALZINE. THEY ARE NOT THE ENTERIC COATED ONES.I DO NOT NOTICE ANY SIDE EFFECTS APART FROM OCCASIONAL YELLOW STAINS. i AM CAREFUL NOT TO DRINK TOO MUCH AS THIS SEEMS TO BE A PROBLEM. ALSO IF MY LIVER HAS TO WORK HARD BECAUSE OF THE TABLETS, THEN THE LEAST I CAN DO IS NOT OVERSTRAIN IT. OTHERWISE THERE ARE NO SIDE EFFECTS AS FAR AS I CAN TELL. NEED LIVER FUNCTION BLOOD TESTS DONE
 REGULARLY IE ABOUT EVERY THREE MONTHS OR WHEN I REMEMBER. THEY HAVE ALL BEEN CLEAR TO DATE.",HAD SURGERY TO REMOVE ABCESS AND PART OF COLON AND NOW TAKE TABLETS DAILY AND AM REVIEWED ANNUALLY BY COLONOSCOPY, colitis illness til salazopyrin nothing have prob vengeance surgery have profession interest told mw go consultatn surgery surgery meant pain fact style sulfasalzine enteric notice side drink be problem liver work do side tell need function blood remember date surgery remove abcess part colon colonoscopy
10,singulair,Highly Effective,No Side Effects,asthma,"Singulair is very effective in keeping my asthmatic symptoms in control.  If I forget to take it, I can tell that my breathing becomes more labored by about 36 hours after the last dose.  I will on occasion (maybe 1-2 times per week) need to use my rescue inhaler (albuterol), but it is primarily needed to ease discomfort and not to stop a full blown asthma attack.  In fact, I have not suffered a full blown asthma attack since I started taking Singulair.",There are no apparent side effects of Singulair for me.,"My asthma had become so bad that when I was to be administered a test where I would be exposed to irritants to guage the severity of my asthma, I did not even get past the saline control before my breathing was adversely affected.  I would say that my experience with Singulair has been superior (only surpassed  by Advair, which I had to stop using due to the fact that my insurance company wouldn't cover it anymore.  That led to my change to Singulair.)", singulair control take tell dose occasion week need use rescue inhaler albuterol ease discomfort stop attack fact blown asthma attack singulair side singulair asthma be test be guage severity asthma get saline control breathing say experience singulair advair stop fact insurance company cover change singulair
10,methimazole,Highly Effective,No Side Effects,grave's disease,"ALL SYMPTOMS SUBSIDED - SWOLLEN ANKLES, RESTLESS SLEEP, FEELING OVERHEATED/SENSITIVITY TO WARM TEMPERATURES, SHAKEY HANDS, SWOLLEN THYROID GLAND, HIGH THYROID LEVEL IN BLOOD TESTS, TIRED EYES, AND INCREASED APPETITE.",NONE.,"INITIALLY TOOK 10MG TWICE A DAY. AFTER 6 MONTHS, REDUCED TO ONCE A DAY. AFTER ONE YEAR, REDUCED TO 1 EVERY OTHER DAY OR SO. WHEN BLOOD TESTS CONSISTENTLY RESULTED IN NORMAL THYROID LEVELS, STOPPED TAKING METHIMAZOLE ALTOGETHER. I'VE BEEN IN REMISSION NOW FOR 1 YR.", swollen overheated/sensitivity gland level blood appetite none day day year day blood thyroid i remission yr
10,imitrex,Highly Effective,No Side Effects,migraine,"Once a day, sometimes 2 in a 24 hour period depending on the severe headache",none,"I have had migraines since I was 9 years old. Through JR high I would finish a bottle of aspirin in a week and a half. About every 3 or 4 days they were horrible with nausea , cold pack on my head, stay out of the light. About 9 years ago I developed cluster migraines. They last all day, nite for 4-5 months. I was introduced to imitex in 2005. THANK GOD!!!  They have been increasing in cost terribly. I went through sinus aerials, allergy tests, bio feed back. etc. Nothing helped. I thought I would take my life when these clusters started. Not only could I not function but I had to sleep sitting up. Lying dowm made them worse.  I have no side effects.  But the imitrex is not working as well and I take aleve with it. Treximet is not strong enough.", day hour period headache none jr finish bottle aspirin week half nausea pack head stay light day imitex thank god cost sinus etc nothing thought take life function sleep dowm side imitrex take aleve treximet
10,triphasil,Highly Effective,No Side Effects,contraception,"General Medical:  The treatment is for contraception.  I used it for weight control, skin problems and as a contraception, it was very effective for all of it except that when i left the medication I experienced severe hair loss which i was not warned about","severe hair loss after terminating the pill, but no others whilst on it",Daily dose usually taken at night, treatment contraception weight control skin contraception medication hair loss hair loss pill dose night
10,meridia,Highly Effective,No Side Effects,obesity,"Dramatic loss of weight and inches first week.  Settled into Meridia's Program provided over the Internet (comes with perscription).  Promised myself to follow the rules.  The toughest for me, was not to weigh myself everyday.  Meridia wanted me to check only once a week and I'm glad I refrained.  The thrill of seeing a huge difference each week has kept my knees from complaining.  The strength of Meridia has never lessened.  If I forget to take it, I feel like the bottom of my floor has opened up and I am in free fall.  It really is strange...  When I take it with my vitamins each morning, it gives me a definite feeling of support.  I am loosing 2 lbs each week along with inches.  I'm doing better than what they advertise but that is probably because I have a gym in my home.  I walk 70 miles/mo. and do free weights.  I also love my whey protein porrage in the morning with blueberries, shake for lunch and balanced meal for dinner.  I do eat snacks.  A Starbucks coffee (also made at home), with 1/2 an energy bar... or, an orange.  Responsible eating.  I also understand the dynamics of over eating, being menopausal with depleated hormones.  Meridia has been a life saver for me.  Thanks to my fabulous Doctor, who is also using it.","In 2 mo. (3/4 of the program), 22 lbs weight loss.","3 months, 1 capsule of 10 mg. per day.  After 3 mo., back in to see my Doctor for another check-up.  Continuing on Meridia for another 3 months for achievement of goal.  According to my Doctor, I can use it as a maintenance.  I honestly have no side effects.  I just wish it wasn't so expensive.", loss weight week meridia program internet perscription follow toughest weigh meridia check week i thrill difference week strength meridia take feel bottom floor fall take morning feeling support lbs week i home walk miles/mo do love whey porrage morning lunch meal dinner do eat coffee home energy bar orange eating meridia life saver doctor mo program loss capsule day mo see doctor check-up meridia achievement goal doctor use maintenance side wish
10,effexor-xr,Highly Effective,No Side Effects,depression & anxiety,"I was having panic attacks and very high anxiety. Effexor XR helped to reduce the anxiety and eliminate the panic attacks. My depression is much, much better.",I have to take it with food or I get sick stomach. Otherwise I have no side effects.,"You must take a SSRI daily. If you skip a few days you start to feel like you are getting a really bad cold, and disoriented. They are hard to wean off of. Do not stop taking! Talk to your doctor if you feel you want to reduce your dosage.", i anxiety effexor xr reduce anxiety eliminate panic depression have take food get stomach side take feel cold wean do stop taking talk doctor reduce dosage
10,clonazepam,Considerably Effective,No Side Effects,anxiety insomnia,"reduction of anxiety, better sleep quality, reduced gi symptoms (stress related)",Drowsiness in the morning.,"Initially this drug was prescribed short term for a significant life crisis.  I did not use it much as such, I did not feel short term effects for daytime use.  I did, however, learn that taking 1 mg prior to bed would better the quality of my sleep, stop me from waking up in the middle of the night with anxiety and allow me to sleep longer. Overall, this improvement in sleep quality allowed me to function better in the daytime thus allowing me to deal with the stressors on hand.  I have reduced the dose to .5 mg nightly with the same effects and less morning drowsiness.  I intend to continue to lower the dose until I am off it entirely.  That said, if the sleep disorder/anxiety returns, I will not hesitate to return to using the drug.  Hope this helps someone.", reduction anxiety quality gi drowsiness morning drug term life crisis use feel term daytime use learn bed better quality stop middle night anxiety allow sleep improvement quality function daytime deal hand have dose .5 morning drowsiness intend continue lower dose sleep disorder/anxiety hesitate return drug hope someone
10,protopic,Highly Effective,No Side Effects,eczema,cleared up chronic eczema.   Especially effective on elbows and legs.,I did not experience side effects all though I was warned to avoid exposing treated area to sunlight.,"I was told to use this once in the morning and once before going to bed.  I had to use it on clean skin, and to make sure ointment fully absorbed.  I started to see improvements within days.   I was warned that I might have recurrence of eczema after a few months, but I didn't.", eczema experience side avoid area sunlight use morning bed use skin make see have recurrence eczema
10,serzone,Highly Effective,Mild Side Effects,sleep distubance/mild depression,"After just three weeks, I felt immensely better and began to enjoy the things that previously I had enjoyed--liked gardening and playing tennis. I also slept soundly. It lifted my mood dramatically, but never made me manic. I also felt more like being with people and noticed that I was no longer so preoccupied with myself or awkwardly self-consciousness. In short, I wasn't depressed and anxious anymore!","I gained about 5 lbs, which was not a problem for me since I'm slender to begin with. There was also some mild constipation, well not really constipation, but a decrease in the number of daily bowel movements. To offset that, I just drank more water. Not a big deal.","I used this drug after trying Wellbutrin, which made me too restless and hyper. It was proscribed by a psychiatrist, who was very well versed in pharmacology, for a depression that came about during menopause. I took it regularly for three years; it completely stopped negative thinking and enabled me to sleep deeply for the first time in several years. I had regular liver check-ups, but never had any decrease in correct liver functioning. After three years, I felt I was ready to cut back on the medication, which I did very, very gradually over the next year and a half so that there was no withdrawal period at all. I've been fine without it now for two years.", enjoy gardening playing tennis mood anymore lbs problem i slender begin constipation constipation decrease number bowel offset drank water deal drug wellbutrin hyper psychiatrist pharmacology depression menopause thinking sleep deeply time decrease liver functioning cut medication year half withdrawal period i
